Step Temp v_strain v_sigmaxx v_sigmayy PotEng KinEng Lx Ly Volume
   12400     306.4236       0.0062    1.1030768    0.9044029   -105.99338    2.1784598    8.3990464    8.4528289    585.35956
   12500    268.58632      0.00625   -1.2050825    0.8249182   -105.82136    1.9094628    8.3480551    8.4532489    581.83471
   12600    291.22855       0.0063  0.068845505    1.3165997    -105.6539    2.0704335    8.4745021     8.453669    590.67704
   12700    304.46807      0.00635    1.1205295    1.1293754   -105.39104    2.1645573    8.3758519     8.454089    583.83008
   12800    280.03167       0.0064   -1.3704926   0.77701338   -105.27416    1.9908314    8.3835832    8.4545091    584.39802
   12900    308.39152      0.00645    1.1883627    1.2825601   -105.50086    2.1924503    8.4661412    8.4549291    590.18224
   13000    310.88449       0.0065  -0.30793305   0.83554786   -105.73069    2.2101736    8.3191554    8.4553492    579.96455
   13100    264.05427      0.00655   -1.1414281   0.69116161   -105.89157    1.8772431    8.4602996    8.4557693    589.83363
   13200    275.00805       0.0066    1.8457787    1.8373052   -105.92311    1.9551169    8.4208732    8.4561893    587.11406
   13300    244.03567      0.00665   -1.2896364    1.1525092   -105.17813    1.7349247    8.3085035    8.4566094    579.30828
   13400    321.03363       0.0067  -0.13450217   0.71600677   -105.47791     2.282327    8.4719789    8.4570294     590.7359
   13500    316.83565      0.00675    1.7763372   0.85506579   -105.53729    2.2524822    8.3777071    8.4574495    584.19151
   13600    270.34242       0.0068   -2.2739952   0.82444873    -105.4731    1.9219475    8.3540409    8.4578696    582.57017
   13700    266.53168      0.00685    1.0228064    1.6699973   -105.54178    1.8948558    8.4935563    8.4582896    592.32871
   13800    306.61898       0.0069   0.83178501     1.196888   -105.46506    2.1798488    8.3271178    8.4587097    580.75036
   13900    311.40085      0.00695   -2.1535718   0.21810306   -105.13697    2.2138445    8.3697162    8.4591297    583.75025
   14000    340.06999        0.007    1.8652754   0.94684705   -105.37994    2.4176623    8.5092598    8.4595498    593.51226
   14100    319.95241      0.00705  -0.13807097    1.0615233    -105.8135    2.2746402     8.324483    8.4599698    580.65309
   14200    300.01245       0.0071   -1.4183752    1.1320871   -105.98695    2.1328809    8.3871173    8.4603899    585.05104
   14300     276.2332      0.00715    1.4947759    1.3630391   -105.61143    1.9638269    8.4462504      8.46081    589.20518
   14400    324.58183       0.0072  -0.31935147   0.45658169   -105.59539    2.3075522    8.3183657      8.46123    580.31283
   14500    294.03953      0.00725   -1.2218737    0.8550176   -105.26654    2.0904176    8.4390809    8.4616501    588.76349
   14600    322.55705       0.0073    1.6902534    1.0105808   -105.41898    2.2931574    8.4960997    8.4620701    592.77091
   14700    268.81708      0.00735  -0.34689182      1.48278   -105.71898    1.9111034    8.3327821    8.4624902    581.40514
   14800    241.50671       0.0074  -0.88385598    1.1743547   -105.59307    1.7169456     8.374703    8.4629103     584.3591
   14900    298.96204      0.00745   0.53235987    1.4831294   -105.61568    2.1254132    8.4517107    8.4633303    589.76171
   15000    277.35541       0.0075 -0.020093645    1.1896848   -105.24959    1.9718051    8.3860275    8.4637504    585.20737
   15100    274.10481      0.00755 -0.046504112    1.4159175   -105.06433    1.9486955    8.4611748    8.4641704    590.48072
   15200    343.29092       0.0076   0.64166803    1.4176097    -105.4465    2.4405609    8.3974966    8.4645905    586.06589
   15300    246.79576      0.00765  -0.78317657     1.078015     -105.423    1.7545471    8.4055226    8.4650105    586.65514
   15400    271.84647       0.0077   0.16855467    1.6924429   -105.67518    1.9326402    8.4238998    8.4654306    587.96694
   15500    294.06754      0.00775   0.51733656    1.5636446   -105.57055    2.0906167    8.3908311    8.4658507    585.68788
   15600     264.0613       0.0078  -0.85769304    1.2153016   -105.10754    1.8772931    8.4088041    8.4662707    586.97154
   15700    320.45025      0.00785   0.87396761   0.94450361   -105.19682    2.2781795    8.4095943    8.4666908    587.05583
   15800    326.68516       0.0079  -0.69432098    1.2418817   -105.18521    2.3225054    8.3600848    8.4671108    583.62863
   15900    273.94803      0.00795  0.058477035    1.1657073   -105.43162    1.9475809    8.4478204    8.4675309    589.78282
   16000    258.29281        0.008    0.6351383    2.1391183    -105.5351    1.8362831     8.399281    8.4679509    586.42315
   16100    290.32404      0.00805  -0.89407098    1.2067508   -105.65232     2.064003    8.3841937     8.468371    585.39882
   16200    300.70339       0.0081   0.34305407    1.1994544   -105.31515     2.137793    8.4894816    8.4687911     592.7796
   16300    328.58948      0.00815   0.80380999    1.1533834   -105.14429    2.3360438     8.379786    8.4692111    585.14911
   16400    317.07927       0.0082     -1.07909    1.0344509   -105.20167    2.2542142    8.3772708    8.4696312    585.00249
   16500    294.65466      0.00825   0.53941935    1.3724697   -105.73725    2.0947907     8.405639    8.4700512    587.01261
   16600    316.06151       0.0083   0.17004897    1.8116463   -106.08981    2.2469786    8.3583483    8.4704713    583.73898
   16700    272.17708      0.00835  -0.58012539    1.2071626   -105.69091    1.9349907    8.3221911    8.4708914    581.24263
   16800    318.03889       0.0084  -0.13521304    1.6201398   -105.54169    2.2610364     8.443551    8.4713114    589.74794
   16900    300.47423      0.00845     1.019381   0.71296985   -105.32201    2.1361638    8.4191149    8.4717315    588.07034
   17000    332.62664       0.0085  -0.67339423    1.0902302   -105.57812    2.3647452    8.3388574    8.4721515    582.49328
   17100    335.19955      0.00855   0.10835214    0.8959925   -105.76576    2.3830368    8.4380304    8.4725716    589.45003
   17200    237.94545       0.0086   0.49674134    1.7177526   -105.61757    1.6916275    8.3776215    8.4729916     585.2591
   17300    258.70481      0.00865  -0.77033552   0.85815143   -106.03502    1.8392122    8.3091391    8.4734117    580.50371
   17400    284.01172       0.0087  -0.13324287    1.2650325   -105.90356    2.0191268    8.4224189    8.4738318    588.44698
   17500    311.89605      0.00875    1.2112234     1.474677   -105.72729    2.2173651    8.3848568    8.4742518    585.85167
   17600    359.03816       0.0088    -1.333053   0.72369625   -105.76699    2.5525129    8.3591501    8.4746719    584.08449
   17700    349.93525      0.00885   0.40950727    1.1623717   -105.73244    2.4877975    8.4540217    8.4750919     590.7428
